#lambda/nm	DC	C1
627.799	54794.2	54978
628.213	54441.2	54628.2
628.627	54075.4	54186.2
629.041	53808.8	53983.2
629.456	53421.8	53677.6
629.87	53021.4	53297
630.285	52690.2	53012.6
630.699	52398.6	52627.6
631.093	52050.4	52377.8
631.507	51751	51972.6
631.922	51315.6	51738.8
632.337	51028.6	51315
632.752	50591.2	50867
633.167	50239.6	50537.8
633.582	49916.4	50109.6
633.997	49532.4	49740.6
634.412	49221.2	49329
634.806	48920.4	49101.4
635.221	48478	48710
635.637	48132.4	48466
636.052	47787.6	48078.8
636.468	47488.4	47725.8
636.883	47117.4	47310.4
637.299	46782.8	47045.2
637.715	46309.4	46516.8
638.109	46023.2	46192.6
638.525	45574.2	45801.8
638.941	45089	45216.6
639.357	44669.8	44822.4
639.773	44150.2	44415
640.189	43727.2	43909.6
640.584	43312.6	43477.8
641	42905.2	43152.6
641.416	42467.2	42726.8
641.832	42085.4	42253.2
642.249	41742	41971.4
642.665	41324.2	41491.4
643.06	40903	41087
643.477	40514.2	40705.6
643.894	40142	40288.6
644.31	39749	39911.2
644.727	39364.2	39544.6
645.123	38915.8	39091.8
645.54	38515.8	38796
645.957	38332	38420
646.374	37895.2	38108.8
646.77	37546	37830.2
647.187	37342	37566.8
647.604	36989.2	37276
648.021	36790.2	36899.6
648.439	36514.2	36755.8
648.835	36147.2	36367
649.252	35961.4	36102.4
649.67	35829.4	35908.8
650.088	35574.8	35702.2
650.484	35173.2	35398.8
650.902	35023.2	35073.6
651.32	34634.4	34758.6
651.738	34342	34522.6
652.134	33951.6	34126.6
652.552	33641.6	33930.4
652.971	33416.6	33593.6
653.389	33110.4	33232.4
653.786	32787.8	32980
654.204	32584.8	32686.4
654.622	32163.6	32365.2
655.019	31908.2	32059.2
655.438	31607	31793
655.857	31360.6	31417.2
656.275	31094.6	31296
656.673	30785	30909.4
657.091	30484.6	30666.4
657.51	30264.6	30398.4
657.908	29936.6	30046
658.327	29653	29782.6
658.746	29292.6	29421.6
659.144	28991.2	29150.8
659.563	28656.6	28834.2
659.982	28245.8	28478.4
660.38	28041.8	28136.4
660.8	27680.8	27945.2
661.219	27457.2	27616.4
661.617	27218.2	27286
662.037	26869.2	26947.4
662.457	26606.2	26685.2
662.855	26214.4	26381.4
