#lambda/nm	DC	C1
601.398	518.2	522.6
601.808	527.8	539
602.219	511.2	522
602.629	515.8	539.2
603.039	515	534.4
603.45	542.2	552.8
603.86	527.8	529.2
604.271	535.4	539.6
604.703	525	526
605.114	519.4	526.6
605.525	525.4	521.4
605.935	528.4	528.6
606.346	535	538.8
606.757	521.4	527
607.168	519	527.2
607.579	514.2	518.4
607.99	530.4	533
608.402	520.2	531.2
608.813	523.6	520.2
609.224	517.4	517
609.636	509.8	512.4
610.047	508.6	512
610.48	524.6	524.6
610.892	519	523.8
611.303	533.4	518.6
611.715	522.2	526.2
612.127	512	515
612.539	514.6	517.2
612.95	515.4	526.6
613.362	507.6	521.2
613.774	510.4	511.6
614.186	512.2	515.4
614.599	520	521.2
615.011	533	527.8
615.423	523	528.2
615.835	506.8	525.4
616.248	500.4	515.8
616.66	519.6	529.4
617.073	511	517.6
617.485	521.6	516.4
617.898	519.2	530.6
618.311	525.6	526.6
618.723	522.6	520.4
619.136	552.6	552.6
619.549	526.6	533
619.962	536	538.8
620.375	515.8	517.6
620.788	528.4	526.2
621.201	523.2	516.6
621.614	529.2	534.2
622.028	523.8	516.2
622.441	529.2	523.4
622.854	534.6	534.4
623.268	520.4	510.2
623.681	522.6	518.6
624.095	519.2	527.8
624.509	523.2	531.2
624.922	525.2	522.2
625.336	512	509.6
625.728	521.4	523.2
626.142	519.4	527.8
626.556	525.8	536.4
626.97	523	531.6
627.384	517.6	518.4
627.799	521.6	521.8
628.213	522.2	526.2
628.627	524.6	517.8
629.041	516.2	520.6
629.456	520.4	518.2
629.87	530	518.2
630.285	527	523.4
630.699	528.8	526.4
631.093	516.8	516.4
631.507	534	523
631.922	531.4	519.4
632.337	528	527.2
632.752	515.8	514
633.167	528.4	508
633.582	516	513
633.997	515.6	514.4
634.412	513.4	513.8
634.806	514.8	518.2
635.221	504.2	511
635.637	529	523.6
636.052	515.8	509
636.468	518	512.4
636.883	528	523.4
637.299	513.2	511.8
637.715	506.8	504
638.109	523.2	515.2
638.525	509.8	502.8
638.941	526	519.6
639.357	516	517.6
639.773	522.8	525.4
640.189	512.6	512.4
640.584	523.2	507.2
641	517	517.2
641.416	509.6	509.2
641.832	517.2	515.6
642.249	514	511.6
642.665	511.2	514.8
643.06	525.2	519.8
643.477	528.8	517.2
643.894	505	500.4
